symbol,name,sector,market_cap_cr,avg_volume,current_price
AEGISLOG,AEGIS LOGISTICS LIMITED,Energy,23662.67,650995,674.15
KIOCL,KIOCL Limited,Basic Materials,23547.32,206569,387.45
HFCL,HFCL Limited,Technology,22631.07,81530925,147.89
ACUTAAS,Acutaas Chemicals Limited,Basic Materials,22359.0,449963,2731.0
MTARTECH,MTAR Technologies Limited,Industrials,22251.49,2493510,7234.0
KAYNES,Kaynes Technology India Limited,Technology,21933.07,4640846,3271.9
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,Energy,21907.21,1163585,197.72
GESHIP,The Great Eastern Shipping Company Limited,Industrials,21899.06,2331132,1533.9
NETWEB,Netweb Technologies India Limited,Technology,21868.07,1154050,3840.5
DATAPATTNS,Data Patterns (India) Limited,Industrials,21702.19,1333714,3876.5
NATCOPHARM,NATCO Pharma Limited,Healthcare,21477.06,675795,1199.1
KPIL,Kalpataru Projects International Limited,Industrials,21476.36,201705,1257.6
HBLENGINE,HBL ENGINEERING LTD,Industrials,21398.06,1269240,771.95
IGL,Indraprastha Gas Limited,Utilities,21296.82,2518226,152.12
NEULANDLAB,Neuland Laboratories Limited,Healthcare,21284.79,169930,16590.0
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,21171.25,4018,8468.5
CREDITACC,CreditAccess Grameen Limited,Financial Services,21053.72,528778,1315.2
ONESOURCE,ONESOURCE SPECL PHARMA L,Healthcare,21035.21,311629,1834.8
CARBORUNIV,Carborundum Universal Limited,Industrials,21000.0,565643,1102.4
HATSUN,Hatsun Agro Product Limited,Consumer Defensive,20977.32,18513,941.75
ATUL,Atul Ltd,Basic Materials,20903.65,32868,7100.0
ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical,20895.11,87731,819.65
AFFLE,Affle 3i Limited,Communication Services,20774.03,2123658,1477.1
GMDCLTD,Gujarat Mineral Development Corporation Limited,Energy,20752.68,3036065,652.6
GRINDWELL,Grindwell Norton Limited,Industrials,20592.81,344510,1859.9
AADHARHFC,AADHAR HOUSING FINANCE L,Financial Services,20223.19,285719,464.15
CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,20187.79,209876,8462.5
EIHOTEL,EIH Limited,Consumer Cyclical,19767.76,111694,316.1
IIFL,IIFL Finance Limited,Financial Services,19766.72,8878271,464.85
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,19735.39,9085790,301.95
BAYERCROP,Bayer CropScience Limited,Basic Materials,19548.91,15873,4349.8
JAINREC,JAIN RESOURCE RECYCLING L,Basic Materials,19537.04,2479745,566.15
CAMS,Computer Age Management Services Limited,Technology,19441.99,1332070,784.0
KPITTECH,KPIT Technologies Limited,Technology,19156.63,1886224,703.7
ERIS,Eris Lifesciences Limited,Healthcare,18996.19,77120,1370.9
GPIL,Godawari Power & Ispat Limited,Basic Materials,18720.0,2021897,287.9
EMAMILTD,Emami Limited,Consumer Defensive,18684.38,261401,428.05
BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,18639.41,3134756,209.46
CUB,City Union Bank Limited,Financial Services,18625.56,2500944,250.65
INDIACEM,The India Cements Limited,Basic Materials,18600.78,157998,400.15
GRANULES,Granules India Limited,Healthcare,18242.81,853772,736.2
AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,18028.02,357878,1323.2
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,18025.35,2370990,449.9
GALLANTT,Gallantt Ispat Limited,Basic Materials,17973.02,1086400,744.9
KANSAINER,Kansai Nerolac Paints Limited,Basic Materials,17957.87,941051,222.07
CASTROLIND,Castrol India Limited,Energy,17946.64,1100158,181.44
EMMVEE,EMMVEE PHOTOVOLTAIC PWR L,Technology,17862.5,3838585,258.0
CGCL,Capri Global Capital Limited,Financial Services,17800.81,1789561,185.01
NAVA,Nava Limited,Industrials,17786.63,1096588,628.5
ANANTRAJ,Anant Raj Limited,Real Estate,17569.19,2905208,488.2
CIEINDIA,CIE Automotive India Limited,Consumer Cyclical,17479.12,827325,460.75
DCMSHRIRAM,DCM Shriram Limited,Industrials,17454.3,143566,1127.2
CHALET,Chalet Hotels Limited,Consumer Cyclical,17183.38,216312,784.65
IFCI,IFCI Limited,Financial Services,17052.31,34866884,63.29
CENTURYPLY,Century Plyboards (India) Limited,Basic Materials,17046.22,32105,767.25
KAJARIACER,Kajaria Ceramics Limited,Industrials,16952.94,247159,1064.4
AARTIIND,Aarti Industries Limited,Basic Materials,16927.88,798873,466.25
BRIGADE,Brigade Enterprises Limited,Real Estate,16836.1,289867,688.25
BIKAJI,Bikaji Foods International Limited,Consumer Defensive,16775.52,183439,669.05
ACMESOLAR,ACME SOLAR HOLDINGS LTD,Utilities,16708.73,1775457,276.0
BASF,BASF India Limited,Basic Materials,16687.48,26982,3855.2
DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited,Basic Materials,16661.27,391874,1318.5
JSWCEMENT,JSW CEMENT LIMITED,Basic Materials,16520.23,950748,123.17
INOXWIND,Inox Wind Limited,Industrials,16509.86,9974151,95.53
ELGIEQUIP,Elgi Equipments Limited,Industrials,16495.01,224845,523.25
FSL,Firstsource Solutions Limited,Technology,16402.91,5467045,237.6
COHANCE,COHANCE LIFESCIENCES LTD,Healthcare,16205.71,2901851,423.2
CUPID,Cupid Limited,Consumer Defensive,16184.34,15045122,120.36
FRACTAL,FRACTAL ANALYTICS LIMITED,Technology,16164.72,1246879,940.0
JYOTICNC,Jyoti CNC Automation Limited,Industrials,16086.77,640613,707.35
FINCABLES,Finolex Cables Limited,Industrials,16072.4,493541,1050.9
JUBLPHARMA,Jubilant Pharmova Limited,Healthcare,15682.71,120738,990.15
GABRIEL,Gabriel India Limited,Consumer Cyclical,15671.55,238047,1091.0
ANURAS,Anupam Rasayan India Ltd,Basic Materials,15665.53,414644,1376.0
BBOX,Black Box Limited,Technology,15597.39,3500921,878.75
LMW,LMW Limited,Industrials,15555.52,1735,14561.0
ABDL,ALLIED BLEND N DISTILS L,Consumer Defensive,15533.7,389296,555.35
CEMPRO,Cemindia Projects Limited,Industrials,15453.15,578173,899.55
APLLTD,Alembic Pharmaceuticals Limited,Healthcare,15412.51,178940,784.1
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,15193.22,573155,1998.8
JBMA,JBM Auto Limited,Consumer Cyclical,15173.47,4788318,641.6
GRAPHITE,Graphite India Limited,Industrials,15130.86,2647889,774.45
CLEANMAX,CLEAN MAX ENVIRO EN SOL L,Utilities,15103.21,453164,1290.0
ARE&M,Amara Raja Energy & Mobility Limited,Industrials,15080.37,466843,823.95
CHENNPETRO,Chennai Petroleum Corporation Limited,Energy,15025.16,862107,1009.0
OLAELEC,OLA ELECTRIC MOBILITY LTD,Consumer Cyclical,14978.44,63889428,35.68
BEML,BEML Limited,Industrials,14892.91,246864,1788.1
