symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pe_discount_pct,revenue_growth,earnings_growth,roe
AKCAPIT,A. K. Capital Services Limited,,13,3,8,2,0,,0.0,0.171,0.517,
NESTLEIND,Nestlé India Limited,Consumer Defensive,13,0,8,5,0,78.728676,0.0,0.238,0.274,0.76338995
HCLTECH,HCL Technologies Limited,Technology,13,6,1,4,2,18.449259,31.8,0.053,-0.002,0.23357001
NITINSPIN,Nitin Spinners Limited,Consumer Cyclical,13,7,3,1,2,16.865923,38.3,0.022,0.237,0.12764
MEDIASSIST,MEDIASSIST,Healthcare,13,1,10,1,1,49.019108,0.0,0.281,1.404,0.12717
ALANKIT,Alankit Limited,Technology,13,8,5,0,0,11.371795,58.0,-0.17,0.474,
DPABHUSHAN,D. P. Abhushan Limited,Consumer Cyclical,13,6,7,0,0,11.325582,58.5,0.128,0.936,
BANG,Bang Overseas Limited,Consumer Cyclical,13,8,3,2,0,9.939632,63.6,0.179,-0.471,
INDIANB,Indian Bank,Financial Services,13,8,1,4,0,9.443038,48.6,0.018,0.064,0.15442
KEYFINSERV,Keynote Financial Services Limited,Financial Services,13,4,5,2,2,17.696112,0.0,0.831,-0.203,
GALAPREC,GALAPREC,Industrials,13,2,7,2,2,33.22274,0.0,0.277,0.11,0.12921
NAHARPOLY,Nahar Poly Films Limited,Consumer Cyclical,13,8,5,0,0,8.130937,70.2,-0.032,1.565,
MACPOWER,Macpower CNC Machines Limited,Industrials,13,0,10,1,2,33.67265,0.0,0.433,1.19,
AAKASH,Aakash Exploration Services Limited,Energy,13,3,10,0,0,880.00006,0.0,0.29,5.315,0.056339998
FIVESTAR,Five-Star Business Finance Limited,Financial Services,13,7,0,4,2,12.316778,33.0,0.041,-0.037,0.16058001
LPDC,Landmark Property Development Company Limited,Real Estate,13,2,10,1,0,,0.0,2.411,0.929,
EIDPARRY,E.I.D.- Parry (India) Limited,Basic Materials,13,7,6,0,0,11.819883,51.8,0.183,0.191,
GKWLIMITED,GKW Limited,Industrials,13,3,5,2,3,138.83333,0.0,6.451,,
BCLIND,BCL Industries Limited,Consumer Defensive,13,8,5,0,0,8.440805,64.9,-0.013,0.677,
