symbol,technical_score,trend_score,momentum_score,sr_score,volume_score,price_vs_50ma,pct_above_50ma,price_vs_200ma,pct_above_200ma,ma_cross,trend_strength,momentum_20d_pct,trend_total,rsi_score,rsi_value,macd_score,macd_position,stochastic_score,stochastic_k,momentum_total,sr_high_score,dist_from_52w_high_pct,sr_low_score,dist_from_52w_low_pct,breakout_score,sr_total,volume_trend_score,volume_trend_pct,volume_spike_score,volume_spike_pct,volume_total,current_price,sma_50,sma_200,rsi
BAFNAPH,15.0,5.0,7,3.0,0.0,3,9.9,2,4.0,0,0.0,-3.0,5.0,4,48.7,0,bearish,3,48.3,7,1.0,33.0,2.0,87.9,0,3.0,0,-41.8,0.0,-59.7,0.0,135.3,123.09,130.07,48.7
INDSWFTLAB,15.0,6.0,5,4.0,0.0,1,-3.8,3,17.9,2,0.0,-3.6,6.0,4,49.3,0,bearish,1,10.6,5,2.0,14.6,2.0,89.4,0,4.0,0,-29.0,0.0,-60.7,0.0,133.89,139.17,113.6,49.3
BANARBEADS,15.0,4.0,8,2.0,1.0,2,3.6,1,-4.2,0,1.0,0.4,4.0,3,56.2,2,bullish,3,44.6,8,1.0,30.0,1.0,19.0,0,2.0,1,6.5,0.0,-75.5,1.0,115.21,111.21,120.28,56.2
J&KBANK,15.0,7.0,5,3.0,0.0,2,4.6,3,19.8,2,0.0,-0.4,7.0,4,51.7,0,bearish,1,27.2,5,1.5,9.9,1.5,34.3,0,3.0,0,-18.2,0.0,-69.2,0.0,130.7,124.9,109.09,51.7
DEVYANI,15.0,5.0,5,2.0,3.0,3,6.5,0,-16.1,0,2.0,10.7,5.0,3,58.0,0,bearish,2,39.2,5,1.0,38.2,1.0,29.0,0,2.0,3,27.1,0.0,-13.5,3.0,118.08,110.9,140.7,58.0
ICIL,15.0,6.5,5,3.5,0.0,3,10.9,2,6.9,0,1.5,8.2,6.5,2,62.4,0,bearish,3,52.4,5,2.0,16.1,1.5,33.8,0,3.5,0,-4.0,0.0,-55.3,0.0,290.2,261.73,271.42,62.4
BALKRISHNA,15.0,5.0,6,4.0,0.0,3,10.4,1,-5.5,0,1.0,4.2,5.0,4,45.2,0,bearish,2,39.6,6,2.0,29.1,2.0,53.3,0,4.0,0,-71.1,0.0,-81.7,0.0,18.4,16.67,19.47,45.2
ANSALAPI,15.0,8.0,2,5.0,0.0,3,22.8,3,10.6,0,2.0,28.8,8.0,0,82.8,2,bullish,0,100.0,2,2.0,25.8,2.0,56.0,1,5.0,0,-23.1,0.0,-13.9,0.0,4.43,3.61,4.0,82.8
MIDWESTLTD,15.0,3.0,9,3.0,0.0,3,5.5,0,,0,0.0,-3.4,3.0,3,57.1,3,bullish,3,52.2,9,2.0,28.5,1.0,26.9,0,3.0,0,-7.2,0.0,-52.0,0.0,1330.6,1260.96,,57.1
DIVISLAB,15.0,6.5,6,2.5,0.0,3,7.5,2,7.3,0,1.5,8.5,6.5,1,69.7,3,bullish,2,66.6,6,1.5,4.0,1.0,19.9,0,2.5,0,-2.5,0.0,10.5,0.0,6760.5,6290.23,6298.51,69.7
