symbol,name,sector,risk_score,volatility_risk_score,concentration_risk_score,liquidity_risk_score,beta_score,beta,volatility_score,annual_volatility_pct,drawdown_score,max_drawdown_pct,volatility_risk_total,institutional_score,institutional_holding_pct,promoter_score,promoter_holding_pct,float_score,float_pct,concentration_risk_total,volume_score,avg_volume,mcap_score,market_cap_cr,liquidity_risk_total,risk_flags
ASHOKLEY,Ashok Leyland Limited,Industrials,16.5,7.0,4.5,5.0,2,0.47,2.5,33.3,2.5,30.0,7.0,2.0,25.5,1.5,40.1,1.0,57.6,4.5,3.0,17307414,2.0,88918.0,5.0,NONE
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,16.5,6.5,5.0,5.0,1,0.03,2.5,25.6,3.0,14.8,6.5,2.0,29.2,2.0,54.7,1.0,48.5,5.0,3.0,1343978,2.0,87043.0,5.0,NONE
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,16.5,6.5,5.0,5.0,1,0.03,2.5,25.6,3.0,14.8,6.5,2.0,29.2,2.0,54.7,1.0,48.5,5.0,3.0,1343978,2.0,87043.0,5.0,NONE
PNB,Punjab National Bank,Financial Services,16.5,8.0,3.5,5.0,3,0.6,2.5,27.3,2.5,24.8,8.0,1.5,18.5,1.5,70.1,0.5,30.1,3.5,3.0,19531792,2.0,116424.0,5.0,NONE
BHARTIARTL,Bharti Airtel Limited,Communication Services,16.5,7.0,4.5,5.0,1,0.04,3.0,19.3,3.0,18.8,7.0,2.0,32.4,1.5,48.0,1.0,50.2,4.5,3.0,7405765,2.0,1165603.0,5.0,NONE
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,16.5,7.0,4.5,5.0,2,0.59,2.5,31.6,2.5,24.9,7.0,2.0,35.3,1.5,49.3,1.0,50.5,4.5,3.0,1755581,2.0,128820.0,5.0,NONE
LUPIN,Lupin Limited,Healthcare,16.5,7.0,4.5,5.0,1,0.23,3.0,20.9,3.0,9.9,7.0,2.0,34.3,1.5,47.0,1.0,52.9,4.5,3.0,1000511,2.0,104584.0,5.0,NONE
ASIANPAINT,Asian Paints Limited,Basic Materials,16.5,6.5,5.0,5.0,1,0.28,3.0,23.7,2.5,28.5,6.5,2.0,26.9,2.0,52.9,1.0,46.2,5.0,3.0,1227080,2.0,249315.0,5.0,NONE
MANAPPURAM,Manappuram Finance Limited,Financial Services,16.5,8.0,4.0,4.5,3,0.69,2.5,32.2,2.5,21.4,8.0,2.0,32.7,1.0,32.9,1.0,52.4,4.0,3.0,4907539,1.5,29617.0,4.5,NONE
PETRONET,Petronet LNG Limited,Energy,16.5,7.0,5.0,4.5,2,0.5,2.5,28.4,2.5,26.4,7.0,2.0,27.6,2.0,50.2,1.0,48.6,5.0,3.0,2912382,1.5,39773.0,4.5,NONE
BEL,Bharat Electronics Limited,Industrials,16.5,6.5,5.0,5.0,1,0.3,2.5,25.8,3.0,15.6,6.5,2.0,26.5,2.0,53.2,1.0,47.9,5.0,3.0,17249159,2.0,309167.0,5.0,NONE
PETRONET,Petronet LNG Limited,Energy,16.5,7.0,5.0,4.5,2,0.5,2.5,28.4,2.5,26.4,7.0,2.0,27.6,2.0,50.2,1.0,48.6,5.0,3.0,2912382,1.5,39773.0,4.5,NONE
HUDCO,Housing and Urban Development Corporation Limited,Financial Services,16.5,8.5,3.5,4.5,4,0.98,2.5,33.1,2.0,33.8,8.5,1.5,11.2,1.5,75.0,0.5,25.0,3.5,3.0,4799343,1.5,40460.0,4.5,NONE
ONGC,Oil and Natural Gas Corporation Limited,Energy,16.5,7.0,4.5,5.0,1,0.19,3.0,22.0,3.0,9.4,7.0,2.0,22.7,2.0,69.2,0.5,30.8,4.5,3.0,13606392,2.0,373005.0,5.0,NONE
OIL,Oil India Limited,Energy,16.0,6.5,4.5,5.0,1,0.28,2.5,30.5,3.0,18.8,6.5,2.0,21.0,2.0,66.6,0.5,33.4,4.5,3.0,4020185,2.0,81607.0,5.0,NONE
GSPL,Gujarat State Petronet Limited,,16.0,7.5,4.5,4.0,3,0.77,2.5,27.4,2.0,33.3,7.5,2.0,34.2,1.5,49.1,1.0,50.9,4.5,2.5,919748,1.5,15629.0,4.0,NONE
YESBANK,Yes Bank Limited,Financial Services,16.0,7.0,4.0,5.0,2,0.41,2.5,29.1,2.5,28.2,7.0,1.5,15.6,1.5,44.2,1.0,49.2,4.0,3.0,100453007,2.0,68954.0,5.0,NONE
COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,16.0,7.0,5.0,4.0,2,0.56,3.0,23.7,2.0,31.3,7.0,2.0,21.4,2.0,51.4,1.0,48.6,5.0,2.0,488341,2.0,59519.0,4.0,NONE
CANBK,Canara Bank,Financial Services,16.0,7.0,4.0,5.0,2,0.56,2.5,28.2,2.5,22.3,7.0,1.5,16.0,2.0,64.5,0.5,34.0,4.0,3.0,25685360,2.0,114426.0,5.0,NONE
COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,16.0,7.0,5.0,4.0,2,0.56,3.0,23.7,2.0,31.3,7.0,2.0,21.4,2.0,51.4,1.0,48.6,5.0,2.0,488341,2.0,59519.0,4.0,NONE
INDUSTOWER,Indus Towers Limited,Communication Services,16.0,6.0,5.0,5.0,1,0.02,2.5,27.0,2.5,23.9,6.0,2.0,28.9,2.0,51.1,1.0,48.9,5.0,3.0,6979365,2.0,113584.0,5.0,NONE
AUBANK,AU Small Finance Bank Limited,Financial Services,16.0,7.5,3.5,5.0,2,,2.5,28.9,3.0,18.2,7.5,2.0,45.9,1.0,31.3,0.5,25.1,3.5,3.0,2653977,2.0,72733.0,5.0,NONE
TATACOMM,Tata Communications Limited,Communication Services,16.0,7.5,5.0,3.5,3,0.61,2.5,30.7,2.0,31.6,7.5,2.0,25.3,2.0,60.5,1.0,53.6,5.0,2.0,490483,1.5,46928.0,3.5,NONE
UPL,UPL Limited,Basic Materials,16.0,7.0,4.0,5.0,2,0.58,2.5,31.4,2.5,29.5,7.0,2.0,40.4,1.0,33.8,1.0,66.1,4.0,3.0,2584814,2.0,53532.0,5.0,NONE
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,16.0,6.5,4.5,5.0,1,0.39,3.0,24.3,2.5,22.9,6.5,2.0,20.9,2.0,65.2,0.5,35.4,4.5,3.0,1372613,2.0,104576.0,5.0,NONE
OIL,Oil India Limited,Energy,16.0,6.5,4.5,5.0,1,0.28,2.5,30.5,3.0,18.8,6.5,2.0,21.0,2.0,66.6,0.5,33.4,4.5,3.0,4020185,2.0,81607.0,5.0,NONE
UNITDSPR,UNITDSPR,Consumer Defensive,16.0,6.5,4.5,5.0,1,0.26,3.0,23.6,2.5,23.5,6.5,2.0,22.5,2.0,59.5,0.5,37.1,4.5,3.0,1097944,2.0,94919.0,5.0,NONE
TATACOMM,Tata Communications Limited,Communication Services,16.0,7.5,5.0,3.5,3,0.61,2.5,30.7,2.0,31.6,7.5,2.0,25.3,2.0,60.5,1.0,53.6,5.0,2.0,490483,1.5,46928.0,3.5,NONE
STLTECH,Sterlite Technologies Limited,Technology,16.0,7.0,4.5,4.5,4,1.07,1.0,65.0,2.0,37.3,7.0,1.5,12.5,2.0,53.5,1.0,49.5,4.5,3.0,5799737,1.5,19571.0,4.5,HIGH_VOLATILITY
EXIDEIND,Exide Industries Limited,Consumer Cyclical,16.0,6.5,5.0,4.5,2,0.58,2.5,25.2,2.0,32.6,6.5,2.0,21.8,2.0,50.9,1.0,49.1,5.0,3.0,2207630,1.5,29295.0,4.5,NONE
NHPC,NHPC Limited,Utilities,16.0,7.0,4.0,5.0,1,0.24,3.0,23.4,3.0,18.6,7.0,1.5,15.5,2.0,68.5,0.5,32.6,4.0,3.0,13619155,2.0,79416.0,5.0,NONE
YESBANK,Yes Bank Limited,Financial Services,16.0,7.0,4.0,5.0,2,0.41,2.5,29.1,2.5,28.2,7.0,1.5,15.6,1.5,44.2,1.0,49.2,4.0,3.0,100453007,2.0,68954.0,5.0,NONE
UPL,UPL Limited,Basic Materials,16.0,7.0,4.0,5.0,2,0.58,2.5,31.4,2.5,29.5,7.0,2.0,40.4,1.0,33.8,1.0,66.1,4.0,3.0,2584814,2.0,53532.0,5.0,NONE
GRASIM,Grasim Industries Limited,Basic Materials,16.0,7.0,4.5,4.5,1,0.29,3.0,21.1,3.0,14.5,7.0,2.0,23.4,1.5,49.8,1.0,53.3,4.5,2.5,712157,2.0,199057.0,4.5,NONE
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,16.0,6.5,4.5,5.0,2,0.41,2.5,30.3,2.0,33.0,6.5,1.5,18.3,2.0,60.0,1.0,43.5,4.5,3.0,3135287,2.0,129052.0,5.0,NONE
POLYCAB,Polycab India Limited,Industrials,16.0,8.0,4.0,4.0,3,0.61,2.5,28.8,2.5,21.1,8.0,1.5,18.2,2.0,64.7,0.5,32.2,4.0,2.0,359452,2.0,137942.0,4.0,NONE
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,16.0,7.5,4.5,4.0,2,0.49,3.0,22.3,2.5,20.6,7.5,2.0,21.6,2.0,60.6,0.5,,4.5,2.0,270004,2.0,334412.0,4.0,NONE
GRASIM,Grasim Industries Limited,Basic Materials,16.0,7.0,4.5,4.5,1,0.29,3.0,21.1,3.0,14.5,7.0,2.0,23.4,1.5,49.8,1.0,53.3,4.5,2.5,712157,2.0,199057.0,4.5,NONE
