symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pb_ratio,peg_ratio,roe,revenue_growth,earnings_growth,profit_margin,debt_to_equity,pe_score,pe_discount_pct,pb_score,peg_score,ev_ebitda_score,valuation_total,revenue_score,earnings_score,growth_total,roe_score,margin_score,roce_score,quality_total,de_score,current_ratio_score,fcf_score,health_total
CREDITACC,CreditAccess Grameen Limited,Financial Services,14.5,1.0,10,2.5,1.0,155.21327,2.6754622,,0.105100006,1.259,6.162,0.18677999,301.484,0,-691.3,1.0,0.0,0,1.0,5,5,10,1.0,1.5,0,2.5,0.0,1,0.0,1.0
CREDITACC,CreditAccess Grameen Limited,Financial Services,14.5,1.0,10,2.5,1.0,155.21327,2.6754622,,0.105100006,1.259,6.162,0.18677999,301.484,0,-691.3,1.0,0.0,0,1.0,5,5,10,1.0,1.5,0,2.5,0.0,1,0.0,1.0
TCS,Tata Consultancy Services Limited,Technology,14.5,5.0,3,4.5,2.0,17.100971,7.4175963,2.48,0.48395002,0.096,0.122,0.18429,10.389,4,41.7,0.0,0.0,1,5.0,1,2,3,2.0,1.5,1,4.5,0.0,1,1.0,2.0
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,14.0,5.5,5,2.5,1.0,9.380174,1.7425522,,0.20451,0.149,0.302,0.09380999,10.274,4,59.4,1.5,0.0,0,5.5,2,3,5,1.5,1.0,0,2.5,0.0,1,0.0,1.0
NATCOPHARM,NATCO Pharma Limited,Healthcare,14.0,6.0,6,2.0,0.0,13.006327,2.3419898,,,0.363,0.139,0.3413,3.012,4,69.2,1.0,0.0,1,6.0,4,2,6,0.0,2.0,0,2.0,0.0,0,0.0,0.0
RBLBANK,RBL Bank Limited,Financial Services,14.0,1.0,10,1.0,2.0,22.9539,1.1961739,,,0.408,3.679,0.09082,,0,-17.0,1.0,0.0,0,1.0,5,5,10,0.0,1.0,0,1.0,2.0,0,0.0,2.0
GRANULES,Granules India Limited,Healthcare,14.0,4.0,6,2.5,1.5,31.373312,3.6918669,1.0,0.13522,0.228,0.313,0.11089,29.735,3,25.7,0.0,1.0,0,4.0,3,3,6,1.0,1.5,0,2.5,0.0,1,0.5,1.5
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,14.0,5.5,5,2.5,1.0,9.380174,1.7425522,,0.20451,0.149,0.302,0.09380999,10.274,4,59.4,1.5,0.0,0,5.5,2,3,5,1.5,1.0,0,2.5,0.0,1,0.0,1.0
GRANULES,Granules India Limited,Healthcare,14.0,4.0,6,2.5,1.5,31.373312,3.6918669,1.0,0.13522,0.228,0.313,0.11089,29.735,3,25.7,0.0,1.0,0,4.0,3,3,6,1.0,1.5,0,2.5,0.0,1,0.5,1.5
TBZ,Tribhovandas Bhimji Zaveri Limited,Consumer Cyclical,14.0,7.0,7,0.0,0.0,5.9699073,1.2351059,,,0.144,1.696,0.04966,118.113,4,81.6,1.0,0.0,2,7.0,2,5,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0
GODREJPROP,Godrej Properties Limited,Real Estate,14.0,2.0,10,2.0,0.0,27.947214,2.6968265,,0.09969,0.63,0.701,0.36056,82.119,1,7.4,1.0,0.0,0,2.0,5,5,10,0.0,2.0,0,2.0,0.0,0,0.0,0.0
ROSSARI,Rossari Biotech Limited,Basic Materials,14.0,5.0,6,2.0,1.0,18.403938,2.0570705,,0.11848,0.182,0.335,0.06227,32.695,3,20.4,1.0,0.0,1,5.0,3,3,6,1.0,1.0,0,2.0,0.0,1,0.0,1.0
FINCABLES,Finolex Cables Limited,Industrials,14.0,5.0,6,1.5,1.5,22.986942,2.8339348,,,0.352,0.114,0.11418,0.377,4,47.9,1.0,0.0,0,5.0,4,2,6,0.0,1.5,0,1.5,1.5,0,0.0,1.5
